"","X","annual_income_ppp","average_wk_hrs","education_months","family_size","work_distance","languages"
"233",233,77047,39,213,4,0,1
"234",234,75054,39,209,4,0,1
"235",235,73282,39,207,4,1,1
"236",236,73503,39,203,4,0,1
"237",237,72397,39,201,4,1,1
"238",238,71289,39,198,4,1,1
"239",239,72397,39,194,4,1,1
"240",240,73060,40,192,3,0,1
"242",242,119564,37,229,1,0,1
"243",243,115135,37,229,1,1,1
"244",244,106277,37,228,1,1,1
"245",245,106277,37,227,1,0,1
"246",246,99634,37,224,0,0,1
"247",247,99191,37,223,1,0,1
"248",248,98526,38,223,5,0,1
"249",249,98526,53,223,5,0,1
"250",250,98306,53,222,5,0,1
"251",251,97198,54,222,5,0,1
"252",252,96977,38,258,5,0,1
"253",253,95869,38,256,5,0,1
"254",254,95206,38,258,5,0,1
"255",255,95206,38,251,5,0,1
"256",256,94320,38,249,5,0,1
"258",258,77490,54,188,3,0,1
"259",259,77047,41,190,3,0,1
"260",260,76161,41,185,3,0,1
"261",261,76161,41,184,3,0,1
"262",262,76382,42,184,3,0,1
"263",263,76382,42,187,3,0,1
"264",264,76604,42,188,3,0,1
"265",265,76604,42,188,3,0,1
"266",266,76161,42,183,2,0,1
"267",267,75276,43,188,2,0,1
"268",268,74611,43,185,2,0,1
"269",269,73946,43,181,2,0,1
"270",270,74168,43,178,2,0,1
"271",271,73503,43,177,2,0,1
"272",272,73725,54,176,2,0,1
"274",274,54681,48,164,3,0,1
"275",275,54238,48,159,3,0,1
"276",276,53795,48,156,3,0,1
"277",277,53352,49,154,3,0,1
"278",278,52467,49,150,3,1,1
"279",279,51802,49,148,2,0,1
"280",280,50030,49,146,2,1,1
"281",281,48924,49,143,2,1,1
"282",282,48259,49,141,3,1,1
"283",283,47594,55,139,3,1,1
"284",284,46708,55,134,2,0,1
"285",285,46045,50,129,3,0,1
"286",286,45602,50,125,2,1,1
"287",287,45380,50,117,3,0,1
"288",288,45159,50,114,2,1,1
"290",290,76161,49,185,2,0,1
"291",291,75497,49,186,2,0,1
"292",292,74611,49,183,2,0,1
"293",293,73725,49,178,3,0,1
"294",294,72839,55,172,3,0,1
"295",295,71732,50,166,4,0,1
"296",296,70846,50,162,4,0,1
"297",297,69739,50,157,3,0,1
"298",298,68189,50,151,3,0,1
"299",299,66417,51,147,3,0,1
"300",300,64646,51,142,2,0,1
"301",301,62653,51,137,3,0,1
"302",302,60881,51,133,4,0,1
"303",303,59110,51,128,3,0,1
"304",304,59774,51,125,4,0,1
"306",306,66639,45,186,3,0,1
"307",307,64646,45,186,3,0,1
"308",308,62874,45,185,3,0,1
"309",309,60217,45,184,3,0,1
"310",310,57781,45,183,3,0,1
"311",311,53573,45,181,4,0,1
"312",312,49810,45,180,3,0,1
"313",313,48481,46,180,3,0,1
"314",314,43830,46,178,3,0,1
"315",315,36965,46,178,3,0,1
"316",316,28993,46,177,3,0,1
"317",317,25229,46,177,3,0,1
"318",318,24343,46,178,4,0,1
"319",319,25893,54,177,3,0,1
"320",320,28329,47,176,3,0,1
"322",322,88119,39,216,5,2,1
"323",323,87898,40,205,5,0,1
"324",324,87455,40,205,5,0,1
"325",325,86569,40,202,5,16,2
"326",326,85904,40,200,5,16,2
"327",327,85462,41,200,5,16,2
"328",328,85019,54,194,5,2,1
"329",329,84798,41,197,5,2,1
"330",330,84133,41,200,5,2,1
"331",331,83468,41,200,5,15,2
"332",332,81919,42,202,4,15,2
"333",333,81476,42,212,4,15,2
"334",334,80590,42,209,4,0,1
"335",335,79704,42,206,4,0,1
"336",336,88562,43,203,4,14,2
"354",354,87012,36,212,5,1,1
"355",355,86569,37,207,4,1,1
"356",356,86126,37,206,4,0,1
"357",357,85683,37,205,4,1,1
"358",358,85019,37,201,4,1,1
"359",359,84576,37,200,4,1,1
"360",360,83912,38,200,4,1,1
"361",361,83247,53,197,4,1,1
"362",362,82361,54,197,4,0,1
"363",363,82140,38,197,4,1,1
"364",364,82361,38,194,4,0,1
"365",365,81919,38,190,4,1,1
"366",366,81476,38,190,4,1,1
"367",367,81033,39,190,4,0,1
"368",368,79925,39,190,4,0,1
"370",370,53795,50,129,3,1,1
"371",371,53130,50,127,3,0,1
"372",372,52245,50,123,3,1,1
"373",373,51138,50,118,3,0,1
"374",374,49810,51,113,4,0,1
"375",375,48481,51,108,4,0,1
"376",376,46708,51,103,4,1,1
"377",377,44937,51,97,4,0,1
"378",378,42723,51,94,4,1,1
"379",379,40508,51,90,4,0,1
"380",380,38515,51,85,4,0,1
"381",381,36744,52,84,3,1,1
"382",382,35415,52,82,3,0,1
"383",383,46488,52,81,3,1,1
"384",384,35415,52,79,3,0,1
"386",386,53352,50,163,4,0,1
"387",387,52245,50,162,5,0,1
"388",388,50916,50,159,5,0,1
"389",389,49588,51,155,5,0,1
"390",390,48259,51,148,5,0,1
"391",391,46930,51,140,4,0,1
"392",392,44937,51,132,4,1,1
"393",393,43830,51,123,1,1,1
"394",394,42280,51,108,7,1,1
"395",395,40730,51,105,6,1,1
"396",396,38959,51,100,4,1,1
"397",397,37408,51,94,3,1,1
"398",398,36523,52,91,3,1,1
"399",399,36080,52,92,3,1,1
"400",400,50916,52,92,3,0,1
"402",402,84133,54,197,3,0,1
"403",403,83690,47,198,2,0,1
"404",404,83468,47,193,3,0,1
"405",405,83247,47,192,3,0,1
"406",406,83025,47,187,3,0,1
"407",407,82804,48,184,2,0,1
"408",408,82804,48,181,2,0,1
"409",409,82582,48,178,2,0,1
"410",410,82140,48,178,3,0,1
"411",411,81476,48,170,3,0,1
"412",412,80590,49,169,3,0,1
"413",413,79925,49,171,3,0,1
"414",414,92990,49,171,3,0,1
"415",415,84133,49,168,3,0,1
"416",416,77268,49,171,3,0,1
"418",418,73725,50,166,3,0,1
"419",419,72617,50,165,3,0,1
"420",420,71732,50,164,3,1,1
"421",421,70846,50,164,3,1,1
"422",422,69960,51,163,3,0,1
"423",423,68854,51,162,4,0,1
"424",424,67746,51,162,3,0,1
"425",425,66417,51,159,2,1,1
"426",426,64424,51,157,2,1,1
"427",427,61767,51,156,3,0,1
"428",428,58667,51,152,4,0,1
"429",429,61989,52,148,4,1,1
"430",430,53795,52,135,3,1,1
"431",431,52024,52,128,3,0,1
"432",432,50252,52,123,3,1,1
"434",434,48038,47,161,2,0,1
"435",435,47373,47,161,2,2,1
"436",436,46266,47,161,2,0,1
"437",437,45602,48,156,2,0,1
"438",438,44937,48,152,3,0,1
"439",439,43830,48,147,3,2,1
"440",440,42502,48,142,3,0,1
"441",441,41173,48,133,3,1,1
"442",442,40508,48,135,3,1,1
"443",443,39402,49,136,3,0,1
"444",444,37851,49,135,3,0,1
"445",445,37186,49,134,3,1,1
"446",446,36744,49,137,3,0,1
"447",447,36523,49,122,3,1,1
"448",448,36301,55,120,2,1,1
"450",450,104063,36,224,1,3,1
"451",451,103620,36,224,1,3,1
"452",452,103177,36,224,1,0,1
"453",453,102956,37,224,1,0,1
"454",454,102291,37,224,6,0,1
"455",455,101848,37,224,6,3,1
"456",456,115135,37,223,1,3,1
"457",457,110707,37,223,6,3,1
"458",458,110707,37,223,6,0,1
"459",459,101848,38,223,5,0,1
"460",460,99634,53,223,5,0,1
"461",461,98969,54,223,5,0,1
"462",462,98526,38,223,5,0,1
"463",463,98306,38,223,5,0,1
"464",464,97641,39,224,5,0,1
"466",466,50916,49,122,2,0,1
"467",467,32980,49,122,2,0,1
"468",468,39845,49,122,2,0,1
"469",469,32758,55,119,2,0,1
"470",470,31429,55,117,2,0,1
"471",471,30101,50,114,2,0,1
"472",472,27886,50,113,2,0,1
"473",473,26115,50,112,2,0,1
"474",474,25007,50,110,2,0,1
"475",475,24121,50,108,2,0,1
"476",476,23679,50,106,2,0,1
"477",477,23679,50,105,2,0,1
"478",478,23458,50,103,2,0,1
"479",479,23458,51,101,2,0,1
"480",480,24343,51,100,2,0,1
"482",482,38959,50,125,2,1,1
"483",483,38072,50,125,2,1,1
"484",484,37186,50,125,2,0,1
"485",485,36744,50,118,2,1,1
"486",486,35858,50,118,2,0,1
"487",487,48702,51,113,2,0,1
"488",488,32315,51,110,2,1,1
"489",489,31872,51,106,2,0,1
"490",490,29880,51,104,2,0,1
"491",491,30101,51,105,2,0,1
"492",492,29880,51,105,3,0,1
"493",493,29658,51,103,3,0,1
"494",494,28993,51,99,5,0,1
"495",495,28772,51,97,4,0,1
"496",496,27886,51,94,4,1,1
"498",498,106277,37,228,4,1,1
"499",499,101848,37,221,4,1,1
"500",500,99412,37,220,4,0,1
"501",501,99191,38,219,4,1,1
"502",502,97641,53,216,4,1,1
"503",503,98084,38,217,4,1,1
"504",504,98748,38,216,4,1,1
"505",505,97198,38,212,4,1,1
"506",506,97198,38,213,3,1,1
"507",507,96091,39,209,4,0,1
"508",508,95206,39,206,4,1,1
"509",509,94984,39,202,4,1,1
"510",510,94763,39,201,4,1,1
"511",511,93655,39,199,4,1,1
"512",512,93655,40,197,4,1,1
"514",514,90333,46,192,3,0,1
"515",515,89890,54,187,3,0,1
"516",516,89447,55,184,3,0,1
"517",517,89004,47,188,3,0,1
"518",518,88562,47,185,3,0,1
"519",519,88341,47,181,3,0,1
"520",520,87455,48,178,3,0,1
"521",521,87233,48,172,2,0,1
"522",522,86790,48,168,2,0,1
"523",523,86126,48,163,3,0,1
"524",524,85241,49,158,3,0,1
"525",525,84355,49,155,3,0,1
"526",526,83468,49,152,3,0,1
"527",527,82361,49,151,2,0,1
"528",528,81254,55,150,3,0,1
"530",530,87676,39,198,4,4,1
"531",531,87233,39,194,4,4,1
"532",532,87012,39,193,4,4,1
"533",533,86790,39,191,4,0,1
"534",534,85462,40,188,4,0,1
"535",535,85462,40,184,4,4,1
"536",536,85241,40,181,4,0,1
"537",537,85241,40,178,3,4,1
"538",538,84355,40,173,3,4,1
"539",539,84355,54,169,3,4,1
"540",540,83690,41,171,3,3,1
"541",541,82804,41,174,3,3,1
"542",542,81476,41,173,3,3,1
"543",543,80811,42,172,3,0,1
"544",544,80590,42,171,3,0,1
"546",546,62432,49,169,4,0,1
"547",547,61767,49,166,4,0,1
"548",548,60881,49,165,4,0,1
"549",549,60217,49,163,3,0,1
"550",550,59332,49,162,3,0,1
"551",551,58224,49,159,2,0,1
"552",552,57560,55,158,3,0,1
"553",553,68632,55,156,3,0,1
"554",554,61989,50,155,2,0,1
"555",555,55345,50,152,2,0,1
"556",556,54902,50,150,2,0,1
"557",557,54459,50,147,2,0,1
"558",558,54238,50,142,2,0,1
"559",559,54238,50,139,1,0,1
"560",560,54238,50,135,2,0,1
"579",579,98526,38,201,5,0,1
"580",580,98306,38,199,5,0,1
"581",581,97863,39,198,5,0,1
"582",582,97420,39,195,6,0,1
"583",583,95426,39,194,6,0,1
"584",584,97863,40,192,6,0,1
"585",585,97198,40,190,5,0,1
"586",586,97198,40,188,5,0,1
"587",587,95206,40,186,4,0,1
"588",588,96534,54,184,4,0,1
"589",589,94541,41,181,4,0,1
"590",590,95206,41,180,5,0,1
"591",591,95869,42,178,5,0,1
"592",592,94098,42,176,4,0,1
"593",593,94320,42,174,4,0,1
"595",595,94763,37,215,4,0,1
"596",596,94541,37,213,4,0,1
"597",597,93212,37,209,4,0,1
"598",598,92990,38,208,4,0,1
"599",599,92104,53,205,5,0,1
"600",600,91441,54,205,5,0,1
"601",601,90776,38,206,4,0,1
"602",602,90333,38,206,4,0,1
"603",603,90555,38,201,4,0,1
"604",604,89004,39,198,4,0,1
"605",605,89447,39,194,4,0,1
"606",606,87898,39,190,4,0,1
"607",607,88119,39,186,3,0,1
"608",608,88341,39,183,4,0,1
"609",609,87898,39,181,4,0,1
"627",627,106277,38,202,4,0,1
"628",628,101848,38,200,4,0,1
"629",629,99634,38,200,4,0,1
"630",630,98969,38,200,4,0,1
"631",631,98526,39,209,4,0,1
"632",632,98084,39,203,4,0,1
"633",633,97641,39,199,4,0,1
"634",634,97198,39,197,4,0,1
"635",635,96977,39,195,4,0,1
"636",636,96755,39,197,4,0,1
"637",637,96534,39,195,4,0,1
"638",638,96312,40,191,4,0,1
"639",639,96091,40,185,3,0,1
"640",640,95648,40,184,3,0,1
"641",641,95426,40,185,3,0,1
"643",643,108491,38,263,1,0,1
"644",644,101848,38,257,6,0,1
"645",645,99634,39,253,1,0,1
"646",646,98969,39,236,1,0,1
"647",647,97863,39,235,7,0,1
"648",648,97198,39,235,7,0,1
"649",649,96977,39,235,0,0,1
"650",650,96091,39,234,6,0,1
"651",651,95426,39,236,6,0,1
"652",652,95426,39,232,6,0,1
"653",653,94541,40,231,6,0,1
"654",654,93655,40,229,5,0,1
"655",655,92990,40,232,5,0,1
"656",656,92990,40,228,5,0,1
"657",657,92769,40,231,5,0,1
"659",659,61989,45,113,1,0,1
"660",660,61324,46,113,5,0,1
"661",661,60217,46,113,5,0,1
"662",662,59332,46,108,5,0,1
"663",663,58224,46,104,5,0,1
"664",664,75276,46,101,5,0,1
"665",665,59774,46,98,5,0,1
"666",666,54902,54,92,4,0,1
"667",667,53352,54,90,4,0,1
"668",668,52245,54,86,4,0,1
"669",669,51138,47,83,4,0,1
"670",670,50916,47,81,3,0,1
"671",671,50695,47,78,3,0,1
"672",672,50252,47,74,3,0,1
"673",673,49588,47,74,3,0,1
"676",676,85462,39,193,2,0,1
"677",677,85019,39,193,2,0,1
"678",678,82140,39,192,2,0,1
"679",679,84355,39,191,2,0,1
"680",680,83468,40,190,3,1,1
"681",681,85462,40,190,2,1,1
"682",682,84798,40,188,2,0,1
"683",683,83912,54,187,2,0,1
"684",684,82582,41,186,2,1,1
"685",685,76825,41,186,2,1,1
"686",686,75939,42,185,2,0,1
"687",687,84133,42,184,3,0,1
"688",688,80590,42,183,3,1,1
"689",689,80147,43,183,3,1,1
"690",690,81919,43,181,3,1,1
"692",692,90776,40,202,5,0,1
"693",693,90776,40,195,4,1,1
"694",694,89669,40,194,4,1,1
"695",695,89226,40,193,3,1,1
"696",696,88562,54,192,3,0,1
"697",697,88783,54,192,3,1,1
"698",698,87676,41,191,3,1,1
"699",699,87898,41,190,3,0,1
"700",700,87233,41,188,3,0,1
"701",701,86790,42,188,3,1,1
"702",702,87233,42,187,3,0,1
"703",703,87233,42,186,4,0,1
"704",704,85462,42,185,3,0,1
"705",705,85019,43,184,2,1,1
"706",706,83690,43,184,2,1,1
"724",724,84798,39,193,4,1,1
"725",725,84133,39,193,4,0,1
"726",726,84133,40,193,4,1,1
"727",727,81919,40,191,4,0,1
"728",728,81919,40,190,4,1,1
"729",729,80590,40,188,4,0,1
"730",730,81254,40,195,3,0,1
"731",731,80147,54,190,4,0,1
"732",732,88562,54,190,4,0,1
"733",733,79704,41,187,4,0,1
"734",734,77490,41,184,4,0,1
"735",735,77268,41,179,4,0,1
"736",736,84133,42,177,4,0,1
"737",737,75054,42,174,5,0,1
"738",738,75276,42,171,5,0,1
"740",740,50695,48,147,2,0,1
"741",741,49588,49,147,2,0,1
"742",742,48038,49,147,2,0,1
"743",743,46930,49,147,2,0,1
"744",744,46708,49,147,2,0,1
"745",745,45823,49,146,3,0,1
"746",746,45159,49,146,1,0,1
"747",747,44273,55,144,1,0,1
"748",748,43830,55,144,1,0,1
"749",749,42945,55,141,1,0,1
"750",750,42280,50,139,1,0,1
"751",751,41616,50,137,1,0,1
"752",752,40951,50,135,1,0,1
"753",753,40066,50,133,1,0,1
"754",754,39180,50,40,1,0,1
"759",759,61767,51,98,2,0,1
"760",760,59995,51,99,2,0,1
"761",761,58446,51,100,2,0,1
"762",762,70846,51,100,2,0,1
"763",763,59774,51,101,2,0,1
"764",764,54681,51,101,2,0,1
"765",765,54016,51,103,2,0,1
"766",766,53352,51,98,2,0,1
"767",767,52688,52,94,2,0,1
"768",768,52024,52,91,2,0,1
"769",769,51138,52,90,2,0,1
"770",770,22793,52,85,2,0,1
"772",772,93655,38,231,4,0,1
"773",773,92769,38,231,4,0,1
"774",774,91441,38,231,4,0,1
"775",775,90998,39,230,3,0,1
"776",776,89890,39,228,3,0,1
"777",777,88341,39,227,4,0,1
"778",778,86790,39,227,4,0,1
"779",779,84133,39,227,3,0,1
"780",780,84133,39,227,3,0,1
"781",781,83690,39,224,3,0,1
"782",782,82582,39,222,3,0,1
"783",783,81697,39,221,3,0,1
"784",784,80147,40,219,3,0,1
"785",785,95206,40,214,3,0,1
"786",786,95206,40,207,3,0,1
"788",788,64646,50,137,3,8,1
"789",789,63538,51,137,3,8,1
"790",790,62653,51,137,3,8,1
"791",791,61103,51,135,4,0,1
"792",792,59332,51,134,4,0,1
"793",793,73060,51,134,2,7,1
"794",794,54902,51,128,2,7,1
"795",795,52024,51,122,3,0,1
"796",796,49145,51,117,2,1,1
"797",797,46488,51,107,2,1,1
"798",798,44273,51,103,2,1,1
"799",799,42059,52,100,3,6,1
"800",800,40287,52,97,3,1,1
"801",801,38737,52,90,2,6,1
"802",802,35858,52,85,2,5,1
"804",804,76825,37,216,2,0,1
"805",805,76604,38,214,2,0,1
"806",806,76161,54,213,2,0,1
"807",807,75719,38,210,3,0,1
"808",808,75497,38,209,2,0,1
"809",809,75054,39,208,2,0,1
"810",810,74611,39,206,2,0,1
"811",811,74389,39,205,2,0,1
"812",812,74168,39,202,2,0,1
"813",813,73725,39,201,2,0,1
"814",814,73282,40,195,2,0,1
"815",815,73060,40,194,2,0,1
"816",816,72839,40,194,2,0,1
"817",817,72617,41,193,2,0,1
"818",818,72397,54,192,2,0,1
"820",820,119564,37,237,6,0,1
"821",821,115135,38,237,5,0,1
"822",822,108491,38,237,5,0,1
"823",823,106277,53,236,5,0,1
"824",824,99412,54,235,5,0,1
"825",825,98969,38,237,5,0,1
"826",826,98748,38,238,5,0,1
"827",827,98084,38,239,5,0,1
"828",828,97863,38,239,5,0,1
"829",829,97198,38,238,5,0,1
"830",830,96755,39,252,5,0,1
"831",831,96091,39,250,5,0,1
"832",832,95426,39,249,4,0,1
"833",833,95206,39,245,4,0,1
"834",834,94098,39,241,4,0,1
"836",836,104506,37,228,7,5,1
"837",837,104063,37,228,7,1,1
"838",838,102956,38,227,7,1,1
"839",839,103399,53,227,6,5,1
"840",840,102513,54,226,6,1,1
"841",841,102069,38,226,6,0,1
"842",842,119564,38,227,1,1,1
"843",843,119564,38,227,1,1,1
"844",844,112921,39,227,1,5,1
"845",845,101848,39,220,1,5,1
"846",846,104063,39,220,1,1,1
"847",847,98084,39,219,1,5,1
"848",848,97863,39,220,1,1,1
"849",849,97420,39,221,6,5,1
"850",850,96977,40,222,6,1,1
"852",852,67525,45,186,2,0,1
"853",853,65532,45,185,2,0,1
"854",854,63095,45,185,2,0,1
"855",855,61546,45,185,2,0,1
"856",856,60438,46,185,2,0,1
"857",857,59110,46,184,2,0,1
"858",858,58889,46,184,1,0,1
"859",859,58889,46,184,1,0,1
"860",860,58446,46,184,1,0,1
"861",861,66417,54,184,1,0,1
"862",862,54681,54,183,2,0,1
"863",863,54681,47,183,2,0,1
"864",864,54681,47,183,2,0,1
"865",865,54902,47,183,2,0,1
"866",866,57560,47,181,1,0,1
"884",884,87455,39,197,4,0,1
"885",885,87455,40,197,4,0,1
"886",886,86790,40,195,5,0,1
"887",887,86126,40,194,5,0,1
"888",888,85904,40,194,1,0,1
"889",889,84576,40,188,0,0,1
"890",890,86126,54,192,5,0,1
"891",891,87233,41,185,5,0,1
"892",892,86126,41,186,5,0,1
"893",893,86126,41,181,5,0,1
"894",894,82582,41,179,5,0,1
"895",895,83468,42,177,5,0,1
"896",896,81254,42,177,5,0,1
"897",897,84133,42,176,4,0,1
"898",898,81476,42,172,4,0,1
"900",900,119564,37,237,6,0,1
"901",901,112921,38,236,6,0,1
"902",902,112921,53,236,1,1,1
"903",903,110707,54,235,1,1,1
"904",904,101848,38,234,6,1,1
"905",905,99634,38,234,7,0,1
"906",906,99412,38,232,1,0,1
"907",907,99191,38,232,0,7,1
"908",908,98748,39,231,1,7,1
"909",909,97863,39,230,1,7,1
"910",910,97641,39,230,1,1,1
"911",911,96312,39,229,1,7,1
"912",912,96091,39,229,1,7,1
"913",913,95869,39,228,0,7,1
"914",914,95206,39,228,0,1,1
"916",916,59995,47,176,2,2,1
"917",917,59553,47,173,3,2,1
"918",918,58889,48,170,3,0,1
"919",919,58003,48,166,3,2,1
"920",920,75276,48,162,3,0,1
"921",921,68632,48,161,3,0,1
"922",922,61989,48,154,3,0,1
"923",923,55124,49,146,3,0,1
"924",924,54016,49,141,3,2,1
"925",925,52910,49,134,2,0,1
"926",926,51581,49,129,2,0,1
"927",927,50695,49,132,2,0,1
"928",928,50030,55,128,2,2,1
"929",929,49588,55,133,2,0,1
"930",930,49145,50,129,2,2,1
"932",932,117350,36,239,5,0,1
"933",933,112921,36,238,5,0,1
"934",934,108491,37,235,5,0,1
"935",935,110707,37,234,6,0,1
"936",936,106277,37,230,5,1,1
"937",937,99634,37,228,6,0,1
"938",938,99412,37,224,6,0,1
"939",939,98306,37,230,5,0,1
"940",940,98969,38,229,5,0,1
"941",941,98084,54,221,5,0,1
"942",942,97863,38,217,5,0,1
"943",943,97641,38,216,5,0,1
"944",944,97420,38,209,5,0,1
"945",945,96755,39,205,5,0,1
"946",946,95648,39,201,4,0,1
"964",964,81254,41,164,3,1,1
"965",965,80590,41,164,4,1,1
"966",966,80368,41,163,4,0,1
"967",967,79925,41,162,4,1,1
"968",968,92990,42,162,4,0,1
"969",969,90776,42,161,4,0,1
"970",970,97420,42,161,4,0,1
"971",971,88562,42,157,4,0,1
"972",972,76825,42,154,4,0,1
"973",973,75719,43,151,4,0,1
"974",974,76604,43,148,4,1,1
"975",975,76161,43,144,4,0,1
"976",976,75939,43,142,4,0,1
"977",977,73946,43,139,4,1,1
"978",978,72397,54,135,3,0,1
"980",980,51138,49,140,3,0,1
"981",981,52688,49,139,3,1,1
"982",982,51802,49,139,3,1,1
"983",983,51138,49,137,3,0,1
"984",984,50473,55,136,2,0,1
"985",985,49367,55,134,2,0,1
"986",986,48259,50,132,2,0,1
"987",987,47373,50,128,2,0,1
"988",988,45602,50,122,2,1,1
